epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.904,1.62446,1.57015,1.51938,0.85794,0.79045,0.87185,0.42019,1.56791,0.91237,1.40528,0.00332588,0.00332588,0.00332588
2,240.945,1.59269,1.05604,1.35276,0.83117,0.75305,0.82622,0.42207,1.51582,1.04768,1.40666,0.00664602,0.00664602,0.00664602
3,353.491,1.6388,1.20405,1.40353,0.79481,0.68971,0.75267,0.35575,1.7387,1.24463,1.5742,0.00995297,0.00995297,0.00995297
4,461.708,1.67444,1.23028,1.45236,0.80614,0.71726,0.7939,0.38371,1.60836,1.152,1.50739,0.0099406,0.0099406,0.0099406
5,566.937,1.65592,1.1798,1.4632,0.82834,0.75036,0.80645,0.41921,1.57467,1.10114,1.52994,0.0099208,0.0099208,0.0099208
6,675.363,1.62146,1.07705,1.43708,0.84172,0.75406,0.82861,0.39255,1.59683,1.04777,1.58071,0.009901,0.009901,0.009901
7,780.395,1.58194,1.03462,1.42731,0.86337,0.77969,0.85607,0.44038,1.64649,1.04125,1.6001,0.0098812,0.0098812,0.0098812
8,885.584,1.56695,0.97961,1.4372,0.85059,0.7889,0.86112,0.46858,1.45511,0.92318,1.45913,0.0098614,0.0098614,0.0098614
9,989.174,1.51488,0.9425,1.40891,0.87599,0.82842,0.89451,0.49105,1.43367,0.88197,1.41699,0.0098416,0.0098416,0.0098416
10,1092.97,1.53118,0.90797,1.40746,0.90141,0.86164,0.92705,0.52718,1.36921,0.80517,1.42467,0.0098218,0.0098218,0.0098218
11,1194.65,1.49842,0.89223,1.41677,0.89557,0.87204,0.90912,0.51396,1.40175,0.76958,1.47443,0.009802,0.009802,0.009802
12,1300.35,1.49409,0.87372,1.40913,0.90495,0.88026,0.91222,0.52202,1.36267,0.77185,1.39777,0.0097822,0.0097822,0.0097822
13,1404.81,1.46835,0.8406,1.38472,0.90191,0.87813,0.91719,0.52057,1.4115,0.74308,1.46471,0.0097624,0.0097624,0.0097624
14,1510.31,1.47868,0.82906,1.39583,0.89891,0.86496,0.91081,0.50276,1.42293,0.78659,1.48368,0.0097426,0.0097426,0.0097426
15,1614.39,1.46409,0.81515,1.39796,0.88298,0.87411,0.91108,0.50518,1.41031,0.94354,1.4686,0.0097228,0.0097228,0.0097228
16,1721.76,1.44356,0.78529,1.37921,0.8969,0.88554,0.9194,0.53732,1.34908,0.72193,1.43723,0.009703,0.009703,0.009703
17,1828.85,1.45347,0.79927,1.39128,0.90705,0.90176,0.93347,0.53835,1.36161,0.6534,1.44442,0.0096832,0.0096832,0.0096832
18,1934.76,1.44896,0.75684,1.39035,0.91895,0.88608,0.9412,0.54652,1.36255,0.69963,1.4556,0.0096634,0.0096634,0.0096634
19,2041.77,1.42036,0.74385,1.37449,0.92052,0.90653,0.91966,0.55362,1.31349,0.67176,1.39364,0.0096436,0.0096436,0.0096436
20,2148.99,1.4078,0.7456,1.36533,0.9225,0.90586,0.9489,0.57637,1.31603,0.64134,1.4133,0.0096238,0.0096238,0.0096238
